cod_op_red,type_day,dates,predict
ORD1,ORD,2020-01-15 16:00,1317328.875
ORD1,ORD,2020-01-15 17:00,1297063.957
ORD1,ORD,2020-01-15 18:00,1374728.321
ORD1,ORD,2020-01-15 19:00,1383159.635
ORD1,ORD,2020-01-15 20:00,1317078.911
ORD1,ORD,2020-01-15 21:00,1195466.311
ORD1,ORD,2020-01-15 22:00,1070176.447
ORD1,ORD,2020-01-15 23:00,975698.7518
ORD1,ORD,2020-01-16 0:00,890716.1774
ORD1,ORD,2020-01-16 1:00,858535.9126
ORD1,ORD,2020-01-16 2:00,837360.3603
ORD1,ORD,2020-01-16 3:00,836768.5736
ORD1,ORD,2020-01-16 4:00,892851.8456
ORD1,ORD,2020-01-16 5:00,1020709.187
ORD1,ORD,2020-01-16 6:00,1106788.722
ORD1,ORD,2020-01-16 7:00,1175662.971
ORD1,ORD,2020-01-16 8:00,1232544.653
ORD1,ORD,2020-01-16 9:00,1284614.485
ORD1,ORD,2020-01-16 10:00,1343866.094
ORD1,ORD,2020-01-16 11:00,1376714.791
ORD1,ORD,2020-01-16 12:00,1371400.26
ORD1,ORD,2020-01-16 13:00,1344180.152
ORD1,ORD,2020-01-16 14:00,1354546.809
ORD1,ORD,2020-01-16 15:00,1349768.438
ORD1,ORD,2020-01-16 16:00,1330508.146
ORD1,ORD,2020-01-16 17:00,1303154.715
ORD1,ORD,2020-01-16 18:00,1365024.723
ORD1,ORD,2020-01-16 19:00,1372079.074
ORD1,ORD,2020-01-16 20:00,1308475.833
ORD1,ORD,2020-01-16 21:00,1190116.04
ORD1,ORD,2020-01-16 22:00,1067450.286
ORD1,ORD,2020-01-16 23:00,971078.1153
ORD1,ORD,2020-01-17 0:00,891364.6049
ORD1,ORD,2020-01-17 1:00,855543.013
ORD1,ORD,2020-01-17 2:00,835448.0305
ORD1,ORD,2020-01-17 3:00,811987.7304
ORD1,ORD,2020-01-17 4:00,899288.247
ORD1,ORD,2020-01-17 5:00,1026121.08
ORD1,ORD,2020-01-17 6:00,1094054.785
ORD1,ORD,2020-01-17 7:00,1172028.255
ORD1,ORD,2020-01-17 8:00,1232407.797
ORD1,ORD,2020-01-17 9:00,1275674.989
ORD1,ORD,2020-01-17 10:00,1338066.369
ORD1,ORD,2020-01-17 11:00,1374162.518
ORD1,ORD,2020-01-17 12:00,1389119.781
ORD1,ORD,2020-01-17 13:00,1350775.772
ORD1,ORD,2020-01-17 14:00,1352925.77
ORD1,ORD,2020-01-17 15:00,1352423.255
ORD1,ORD,2020-01-17 16:00,1341753.44
ORD1,ORD,2020-01-17 17:00,1315501.06
ORD1,ORD,2020-01-17 18:00,1381166.958
ORD1,ORD,2020-01-17 19:00,1381603.528
ORD1,ORD,2020-01-17 20:00,1312933.133
ORD1,ORD,2020-01-17 21:00,1198114.767
ORD1,ORD,2020-01-17 22:00,1073309.389
ORD1,ORD,2020-01-17 23:00,974728.5399
ORD1,SAB,2020-01-18 0:00,931552.0062
ORD1,SAB,2020-01-18 1:00,894433.4714
ORD1,SAB,2020-01-18 2:00,874381.6906
ORD1,SAB,2020-01-18 3:00,876893.0785
ORD1,SAB,2020-01-18 4:00,912851.6871
ORD1,SAB,2020-01-18 5:00,965262.889
ORD1,SAB,2020-01-18 6:00,1025738.296
ORD1,SAB,2020-01-18 7:00,1112885.847
ORD1,SAB,2020-01-18 8:00,1193095.425
ORD1,SAB,2020-01-18 9:00,1247616.226
ORD1,SAB,2020-01-18 10:00,1299293.706
ORD1,SAB,2020-01-18 11:00,1326856.775
ORD1,SAB,2020-01-18 12:00,1316807.526
ORD1,SAB,2020-01-18 13:00,1269598.589
ORD1,SAB,2020-01-18 14:00,1229193.289
ORD1,SAB,2020-01-18 15:00,1206763.492
ORD1,SAB,2020-01-18 16:00,1185258.747
ORD1,SAB,2020-01-18 17:00,1189030.706
ORD1,SAB,2020-01-18 18:00,1279660.707
ORD1,SAB,2020-01-18 19:00,1288928.37
ORD1,SAB,2020-01-18 20:00,1227943.849
ORD1,SAB,2020-01-18 21:00,1127562.19
ORD1,SAB,2020-01-18 22:00,1021091.136
ORD1,SAB,2020-01-18 23:00,929953.4515
ORD1,DOM,2020-01-19 0:00,882141.3372
ORD1,DOM,2020-01-19 1:00,836506.2821
ORD1,DOM,2020-01-19 2:00,808402.0681
ORD1,DOM,2020-01-19 3:00,795371.3202
ORD1,DOM,2020-01-19 4:00,802946.8875
ORD1,DOM,2020-01-19 5:00,812296.2966
ORD1,DOM,2020-01-19 6:00,816452.0456
ORD1,DOM,2020-01-19 7:00,895880.6719
ORD1,DOM,2020-01-19 8:00,961929.9294
ORD1,DOM,2020-01-19 9:00,1021473.747
ORD1,DOM,2020-01-19 10:00,1064715.886
ORD1,DOM,2020-01-19 11:00,1097341.462
ORD1,DOM,2020-01-19 12:00,1118010.929
ORD1,DOM,2020-01-19 13:00,1101350.554
ORD1,DOM,2020-01-19 14:00,1078507.315
ORD1,DOM,2020-01-19 15:00,1058250.41
ORD1,DOM,2020-01-19 16:00,1033266.834
ORD1,DOM,2020-01-19 17:00,1045803.294
ORD1,DOM,2020-01-19 18:00,1152788.382
ORD1,DOM,2020-01-19 19:00,1178269.982
ORD1,DOM,2020-01-19 20:00,1139300.328
ORD1,DOM,2020-01-19 21:00,1071146.734
ORD1,DOM,2020-01-19 22:00,981516.3299
ORD1,DOM,2020-01-19 23:00,907696.6251
